*7650
0000+49   BD 49 4329  
2138+23   OP PEG      
2138+31A  V1760 CYG   
2138+31B  NSV 25747   
2138+43   SS CYG      
2138+43B  V1668 CYG   
2138+43C  VAR? NW     
2138+43D  123 COMP N  
2138+43E  113 COMP E  
2138+43F  NSV 25754   
2138+43G  120 COMP W  
2138+43I  84 COMP NE  
2138+43K  80 COMP SE  
2138+44   V1571 CYG   
2138+45   V1339 CYG   
2138+53   NSV 13852   
2139+09   EPS PEG     
2139+37   RV CYG      
2139+37B  VAR? CYG    
2139+40   NSV 13857   
2140+12   TU PEG      
2140+24   RR PEG      
2140+37   V1341 CYG   
2140+44   V2209 CYG   
2140+45   HD 206635   
2140+58   MU CEP      
2140-72   AY IND      
2141+46   BN CYG      
2141+48   V1089 CYG   
2141-02   EP AQR      
2141-16   DELTA CAP   
2141-36   RY PSA      
2142+23   DX PEG      
2142+47   LP CYG      
2142-47   R GRU       
2143+06   EV PEG      
2143+45   V659 CYG    
2143+73   PQ CEP      
2144+20   HO PEG      
2144+43   WY CYG      
2144+43B  130 VAR SE  
2144+43C  92 COMP NE  
2144+43D  91 COMP SE  
2144+43E  96 COMP SW  
2144+64   RT CEP      
2145+12   KY PEG      
2145+16   NSV 13891   
2145-20   BS CAP      
2146+12   AG PEG      
2146+19   HR 8248     
2147+13   LS PEG      
2147+22   AV PEG      
2147+23   AW PEG      
2147+42   VZ CYG      
2147+49   V674 CYG    
2148+18   OR PEG      
2148+49   GU CYG      
2148+70   VZ CEP      
2149+48   LS CYG      
2149+48B  BP CYG      
2149+48C  113 VAR? S  
2149+49   LT CYG      
2150+52   MWC 645     
2150-14   BU CAP      
2150-69   RW IND      
2151+07   OS PEG      
2151+22   RX PEG      
2151+47   LV CYG      
2151+50   LW CYG      
2151+51   BQ CYG      
2152+08   RXJ2157.5+  
2152+35   WW PEG      
2152+47A  LX CYG      
2152+47B  LY CYG      
2152+47C  VAR? SE     
2152+47D  COMP A      
2152+47E  STAR NE     
2152+64   MWC 381     
2152-15   OX-192 CAP  
2152-46   CP GRU      
2153+49   MM CYG      
2153+51   V1404 CYG   
2153+63   VV CEP      
2153-21   BW CAP      
2153-30   PKS2155-30  
2154+15   OT PEG      
2154+45A  MP CYG      
2154+45B  VAR CYG     
2154+52   MQ CYG      
2154+60   IR CEP      
2154+63   Q1995/033   
2154-18   KK AQR      
2155+05   NSV 13992   
2155+23   OU PEG      
2155+45A  GW CYG      
2155+45B  MS CYG      
2155+48A  FG CYG      
2155+48B  NSV 13967   
2155+86   TY CEP      
2156+05   V PEG       
2156+32   WY PEG      
2156+34   AY PEG      
2156+42   BG LAC      
2156+48   NSV 13994   
2156-28   U PSA       
2157+01   VY PEG      
2157+34   WZ PEG      
2157-00   KL AQR      
2157-17   U AQR       
2157-31   TT PSA      
2157-65   HIP 108976  
2158+13   DG PEG      
2158+13B  106 COMP N  
2158+13C  116 COMP E  
2158+28   NSV 25818   
2158+31   OY-302 PEG  
2158+41   BL LAC      
2158+41B  V393 LAC    
2158+43   BK LAC      
2158+48   GY CYG      
2158+48B  118 COMP N  
2158+56   YY CEP      
2158-02   OMI AQR     
2158-28   S PSA       
2158-75   V OCT       
2159+20   HP PEG      
2159+21   OW PEG      
2159+27   TW PEG      
2159+27B  81 COMP SE  
2159+27C  83 COMP     
2159+34   RT PEG      
2159+34B  111 COMP W  
2159+34C  98 COMP NW  
2159+35   UV PEG      
2159+54   IU CEP      
2159+67   BI CEP      
2159+69   BH CEP      
2200+62   MO CEP      
2200-67   SS IND      
2201+33A  RY PEG      
2201+33B  RZ PEG      
2201+34A  SV PEG      
2201+34B  SY PEG      
2201+34C  VAR?        
2201+46   HK LAC      
2201+46B  HT LAC      
2201+51   PS LAC      
2201+53   IV CEP      
2201+53B  125 COMP S  
2202+11   IU PEG      
2202+17   OY PEG      
2202+28   AZ PEG      
2202+34   SZ PEG      
2202+47B  CT LAC      
2202-10   KN AQR      
2203+37   W LAC       
2203+37B  107 VAR? N  
2203+46   AQ LAC      
2203+47   AP LAC      
2203+51   TY LAC      
2203+59   TASV2204+5  
2203-04   UU AQR      
2203-47   NGC 7213    
2204+12   T PEG       
2204+26   OZ PEG      
2204+45   AR LAC      
2204+53   2206+54CEP  
2204-02   KO AQR      
2204-14   KP AQR      
2205+31   PP PEG      
2205+40   SN 2001CY   
2205+50   Y LAC       
2205+55   EE CEP      
2206+13   Y PEG       
2206+72   DM CEP      
2207+14   RS PEG      
2207+54   AB CEP      
2207-11   KR AQR      
2208+38   DH LAC      
2208+43A  RS LAC      
2208+43B  RY LAC      
2208+56   CU CEP      
2208-22   SN 2003GF   
2209+12   RU PEG      
2209+12B  VAR? SE     
2209+12C  95 COMP SE  
2209+53   V341 LAC    
2209+56   N? CEP 83   
2209-80   EPS OCT     
2210+26   AI PEG      
2210+54   KM LAC      
2210+62   SY CEP      
2210-37   SN 1999EE   
2211+28   HQ PEG      
2211+36   SN 2001IB   
2211+41   V381 LAC    
2212+04   PQ PEG      
2212+55   CP LAC      
2212-08   FO AQR      
2212-30   R PSA       
2212-75   DN OCT      
2213+02   UW PEG      
2213+03   PR PEG      
2213+13   TX PEG      
2213-21   X AQR       
2214+43   V366 LAC    
2214+56   YZ CEP      
2214+56B  106 COMP    
2214+69   BO CEP      
2214-14   SS AQR      
2214-60   AA TUC      
2215+01   HL AQR      
2215+05   NSV 14122   
2215+16   PS PEG      
2215-61   UU TUC      
2216+11   IN PEG      
2216+40   V347 LAC    
2216-08   DZ AQR      
2216-46   PI1 GRU     
2217+45   FW LAC      
2217+49   UX LAC      
2217-22   RT AQR      
2217-22B  97 COMP SW  
2218+49   AY LAC      
2218-20   KU AQR      
2219+04   PW PEG      
2219+30   PV PEG      
2219+52   MN LAC      
2219+55A  RW CEP      
2219+55B  SU LAC      
2219+73   SV CEP      
2219-38   T GRU       
2219-38B  VAR? NE     
2219-38C  VAR? ENE    
2219-48   S GRU       
2220+00   PI AQR      
2220+50   MR LAC      
2220+55   BT LAC      
2220-20   KV AQR      
2220-29   T PSA       
2221+29   RV PEG      
2221+34   CSV 8761    
2222-22   KW AQR      
2224+39   S LAC       
2224+39B  99 COMP NE  
2224+50   BU LAC      
2224+55   NQ LAC      
2224+57   DO CEP      
2224-27   NSV 14175   
2225+11   PY PEG      
2225+57   DELTA CEP   
2225+64   BS CEP      
2225-23   KX AQR      
2226+05   MN PEG      
2226+05B  132 COMP S  
2226+05C  135 COMP S  
2226+29   GX PEG      
2226+56   ST CEP      
2227-50   VZ GRU      
2228+00   KZ AQR      
2228+55   QZ LAC      
2228+57   KY CEP      
2228+58   V451 CEP    
2228-67   R IND       
2229+24   SS PEG      
2229+24B  93 COMP NW  
2229+56   NSV 14213   
2229+56B  V351 CEP    
2230+49   SN 2001DE   
2230+50   BH LAC      
2230+53   VW LAC      
2230-17   HM AQR      
2231+52   RZ LAC      
2231+52B  DI LAC      
2231-05   LM AQR      
2231-08   LO AQR      
2231-65   UV TUC      
2232+01   CY AQR      
2232+47B  BM AND      
2232+57   W CEP       
2233+00   2236+0052   
2233-14   AB AQR      
2233-21   FL AQR      
2234+56   NSV 14260   
2234-62   T TUC       
2236+56   Z LAC       
2236-05   LP AQR      
2236-47   BETA GRU    
2237+10   MP PEG      
2237+20   BC PEG      
2237+55   RR LAC      
2237-21   SZ AQR      
2238+09   NSV 14284   
2238+27   BD PEG      
2238+41   R LAC       
2238+41B  STAR SW     
2238+51   AO LAC      
2240+26   QW PEG      
2240+48   V363 LAC    
2240+49   RW LAC      
2240+49A  RV LAC      
2240+52   DU LAC      
2240+61   DG CEP      
2241+54   TX LAC      
2241+56   DV LAC      
2241+59   MV CEP      
2241-11   LQ AQR      
2241-43   RZ GRU      
2241-43B  NSV 14319   
2241-87   RT OCT      
2242+43   EV LAC      
2242+43B  108 COMP E  
2242+58   CR CEP      
2243+10   QY PEG      
2243+36   NSV 14321   
2243+54   U LAC       
2243-65   X TUC       
2244+24   EX PEG      
2244+26   ST PEG      
2244+55   V LAC       
2244-27   TY PSA      
2245+17   SX PEG      
2245+40   RX LAC      
2245+52   DK LAC      
2245+55   X LAC       
2245+58   AL CEP      
2245+58B  VAR CEP     
2245+58C  11.0 COMP   
2246+06   DG PSC      
2246+17   AF PEG      
2246+54   EG LAC      
2246+59   CV CEP      
2246+62   NSV 25966   
2246+65   IOTA CEP    
2247+51   CL LAC      
2247+60   MW CEP      
2247+63   VX CEP      
2247-08   LAMBDA AQR  
2248+16   IM PEG      
2248-34   ST PSA      
2248-45   SN 2002GE   
2249+00   DH PSC      
2249+15   3C 454.3    
2249+16   HR PEG      
2249+37   SW LAC      
2249+60   V386 CEP    
2249-09   TT AQR      
2249-30   V PSA       
2250+19   GO PEG      
2250+36   TU LAC      
2250+58   MIS V1147   
2250-03   AO PSC      
2251+24   SX LAC      
2251+47   RU LAC      
2251+53   TV LAC      
2251-20   S AQR       
2251-41   SN 2001IG   
2252+17   BI PEG      
2252+48   EW LAC      
2252+58   DI CEP      
2252-36   SN 1993L    
2253+10   V368 PEG    
2253+42   TV AND      
2253+42B  102 COMP E  
2253+58   V627 CAS    
2253+84   AR CEP      
2254+04   DI PSC      
2255+15   SN 1997DT   
2255+42   SZ AND      
2255+42B  133 COMP N  
2255+56   V509 CAS    
2256+32   V340 PEG    
2256+45   BC AND      
2256+82   NSV 14381   
2257+41   OMI AND     
2257+45   VY AND      
2257+51   BQ AND      
2257-64   BR TUC      
2258+08   NGC 7469    
2258+10   AK PEG      
2258+16   PG2300+166  
2258+16B  V369 PEG    
2258+27   BETA PEG    
2258+59   UV CAS      
2258+59B  AS CEP      
2258+59C  NSV 14398   
2258+59D  NSV 14402   
2258-35   PI PSA      
2259+14   RW PEG      
2259+14B  ALPHA PEG   
2259+48   AZ AND      
2259+52   V425 CAS    
2259+53   V806 CAS    
2300+48   OR AND      
2300-03   SN 2000DN   
2300-22   ER AQR      
2301+10   R PEG       
2301+10B  77 VAR? NE  
2302+08   NSV 14428   
2302+49   KX AND      
2302+58   SW CAS      
2303+16   DY PEG      
2303+55   KZ CAS      
2303-30   Y SCL       
2304+08   GZ PEG      
2304+21   RXSJ230950  
2304+49   KY AND      
2304+70   UZ CEP      
2305+10   NSV 14446   
2305+33   V345 PEG    
2305+47   KZ AND      
2305+52   RZ AND      
2306+04   DL PSC      
2306+08   NSV 26033   
2306+11   DHK PEG 3   
2306+36   AB AND      
2306+52   RT AND      
2306+66   CG CEP      
2307+46   OS AND      
2307+52   SS AND      
2307+59   V CAS       
2307+59B  93 COMP N   
2308+01   SAO 128046  
2308+08   V346 PEG    
2308+56   LM CAS      
2308+60   OQ CEP      
2309+04   SN 1998DH   
2309+09   V347 PEG    
2309-57   YZ TUC      
2309-59   CP TUC      
2310+40   TY AND      
2310+40B  92 COMP E   
2310+40C  103 COMP W  
2310+40D  99 COMP     
2310+50   CL AND      
2310-31   RXJ2315.5-  
2311+10   EO PEG      
2311-08   CHI AQR     
2311-64   Y TUC       
2312+25   EZ PEG      
2312+59   V563 CAS    
2313+46   AO AND      
2313+48   AI AND      
2313+85   V362 CEP    
2313-00   MARK 530    
2313-09   SN 1987N    
2313-42   PKS2316-42  
2314+25   W PEG       
2315+08   S PEG       
2315+39   RY AND      
2315+46   EU AND      
2315+48   BE AND      
2315-06   NSV 14515   
2316+08   NSV 14520   
2316+12   EI PEG      
2316+49   AK AND      
2316+49B  116 COMP S  
2316+82   AN CEP      
2316-18   XY AQR      
2317-11   SV AQR      
2318+17   IP PEG      
2318+17B  COMP A      
2318+17C  COMP B      
2318+39   BU AND      
2318+78   RY CEP      
2318+81   NSV 14522   
2319+41   V385 AND    
2319+46   TASV2321+4  
2319+55   V353 CAS    
2319+55B  STAR NW     
2319-17   RU AQR      
2320+60   V433 CAS    
2320-08   EG AQR      
2321+44   AL AND      
2322+49   BV AND      
2322+73   NSV 14562   
2322-48   RU PHE      
2323+21   SN 2002DP   
2323-30   VY SCL      
2324+05   RXS2329+06  
2324+12   TY PEG      
2324+85   NSV 14566   
2324-05   NSV 14588   
2325+43   DX AND      
2325+48   DL AND      
2325+57   V358 CAS    
2326+19   EQ PEG      
2326+27   HR 8933     
2326+42   BG AND      
2326+42B  126 COMP S  
2326-03   AF PSC      
2327+48   NSV 14607   
2327+61   DS CAS      
2327-46   V PHE       
2327-54   SN 1996AL   
2328+21   HW PEG      
2328+48   Z AND       
2328+48B  104 COMP N  
2328+48C  88 COMP SW  
2328+48D  SUSP ROD    
2328+48E  103 COMP N  
2328+48F  91 COMP NW  
2328+53   NSV 14613   
2328-45   AN PHE      
2329+49   V426 AND    
2329+53A  V372 CAS    
2329+53B  V371 CAS    
2329-55   TU PHE      
2330+22   V355 PEG    
2331+09   FF PEG      
2332+32   SU PEG      
2332+45   LAMBDA AND  
2332+46   GG AND      
2332+47   BY AND      
2332+56   DU CAS      
2332+61   RS CAS      
2333+27   NSV 14652   
2333+35   ST AND      
2333+55   LS CAS      
2334+51   SV CAS      
2334+59   DX CAS      
2335+04   NSV 26122   
2335+12   HX PEG      
2335+29   V378 PEG    
2336+47   WY AND      
2336+69   PU CEP      
2337+56   V705 CAS    
2338+09   NSV 14679   
2338+34   CM AND      
2338+60   PY CAS      
2338-15   R AQR       
2338-15B  101 VAR? S  
2338-15C  107 COMP S  
2339+56   Z CAS       
2339+61   PZ CAS      
2339+61B  112 COMP W  
2339+61C  88 COMP W   
2339+71   NSV 14687   
2339+84   NSV 14680   
2339-16   NSV 14689   
2340+42   LD 317      
2341+02   TX PSC      
2341+02B  58 COMP SE  
2341+53   RT CAS      
2341-42   SX PHE      
2342+27   SN 2000CW   
2342+58   TAU CAS     
2343+15   DL PEG      
2343+29   V360 PEG    
2343+50   V630 CAS    
2343-06   NSV 14715   
2344+01   NSV 14719   
2344-09   VAR? AQR    
2345+46   TZ AND      
2345+50   CS CAS      
2345+77   AT CEP      
2345-26   VZ SCL      
2346+02   22 PSC      
2346+08   HH PEG      
2346+29   DU PEG      
2346+59   BC CAS      
2346+61   BB CAS      
2346+62   EO CAS      
2347+54   EQ CAS      
2347+58   RY CAS      
2347+66   V854 CAS    
2347-16   Z AQR       
2347-39   BW SCL      
2348+00   NSV 26159   
2348+07   SN 2001DA   
2348+22   V379 PEG    
2348+60   TZ CAS      
2348+75   TX CEP      
2348-39   RXJ2353.0   
2349+27   VAR62 PEG   
2349+44   GL AND      
2349+56   RHO CAS     
2349-00   XZ PSC      
2350+28   II PEG      
2350+48   RS AND      
2350+53   RR CAS      
2350+56   V373 CAS    
2351+82   V CEP       
2351-50   R PHE       
2352+31   YY AND      
2352+55   WY CAS      
2352+55B  137 COMP W  
2352+61   CTM4 CAS    
2352+62   DD CAS      
2352-09   V CET       
2352-65   R TUC       
2353+09   DP PSC      
2353+50   R CAS       
2353+50B  105 COMP E  
2353+50C  68 COMP NW  
2353+60   QX CAS      
2353+60A  CE CAS A    
2353+60B  CE CAS B    
2353+60C  CE CAS      
2353+60D  108 COMP X  
2353+60E  CF CAS      
2353-40   RR PHE      
2353-53   Z PHE       
2353-57   S PHE       
2354+06   NSV 14793   
2354+55   QZ CAS      
2354+56A  V532 CAS    
2354+56B  V533 CAS    
2355+25   Z PEG       
2355-77   BE OCT      
2356+59   WZ CAS      
2356+59B  72 COMP NE  
2356+64   NSV 14802   
2356-67   RXJ0001.9-  
2357+48   IW CAS      
2357-15   W CET       
2358+55A  Y CAS       
2358+55B  150 COMP S  
2358-02   SN 2000DA   
2359+39   SV AND      
2359+43   SU AND      
2359+54   DI CAS
*8630
* E OF 112  2039+37B
* SAM       2015+20D
- AQL       1920+02
- AUR       0526+36         V363 AUR; LANNING 10
- AUR       0534+31B
- CAM       0530+68B
- CEN       1405-58
- CEP       2044+67
- CHA       0809-76C
- CHA       0848-76
- CMA       0640-16         HL CMA
- CMI       0726+10
- CNC       0837+28
- COL       0525-32
- CRB       1555+26B
- CRT       1129-11         TT CRT
- CRV       1215-17         TV CRV; TOMBAUGH *; VAR CRV
- CYG       1946+32B
- CYG       2138+31A
- DOR       0527-66
- FOR       0322-34
- LIB       1507-01
- MON       0629+08
- OPH       1624-12
- ORI       0538+00B        NSV 2599; CSV 102487
- SCT       1841-05
- SGE       1937+16B
- SGR       1852-28
- TAU       0533+26C
- TRI NW    0221+32B
- TRI SE    0221+32D
- UMA       1034+68
- VIR       1303-04
- VIR       1331-08
-- SGR      1746-17
-CAS1       0255+64
-LEO1       1101+02
034525 TAU  0340+24         POSITION TENTATIVE
1 GEM       0558+23         NSV 16765
1 LIB A     1411-26
1 LIB B     1413-26
10.2 COMP   0557+47B
10.6 VAR?   0655+10D
100 COMP E  1353-04E
100 COMP E  2016+47C
100 COMP N  0710+39C
100 COMP S  1200+12B
100 VAR? N  0727+08B
101 COMP    1656+31B
101 COMP N  1946+14C
101 COMP S  1656+31B
101 COMP S  1934+28C
101 VAR? N  0133+38B
101 VAR? S  2338-15B
102 CMP EE  1910-33B
102 COMP E  2253+42B
102 COMP N  1744+22B
102 COMP S  0049+58B
102 COMP S  0604+50C        KOSA-KISS SUSPECTED VAR
102 COMP S  1606+25E
102 COMP W  1555+26H
103 COMP E  0453+07B
103 COMP E  1909+33B
103 COMP E  1934+28B
103 COMP N  1239+37B
103 COMP N  2328+48E
103 COMP S  0549+20E
103 COMP W  1953+39B
103 COMP W  2310+40C
103 VAR W   1459-71B
103 VAR? E  1940+48B
104 COMP E  2028+17D
104 COMP N  1108-28B
104 COMP N  2328+48B
104 COMP W  0059+53B
104 COMP W  2037+18B
104 VAR? E  2048+35B
105 COMP E  0811+12D
105 COMP E  2353+50B
105 COMP N  1857+37C
105 COMP S  0553+53D
105 COMP S  1950+56B
106 COMP    2214+56B
106 COMP N  1419+54B
106 COMP N  1915+29B
106 COMP N  2158+13B
106 COMP W  0231+33B
106 VAR? E  0655+10C
106 VAR? S  0549+20C
106 VAR? S  1533+78D
107 COMP E  1831+38D
107 COMP N  1901+08E
107 COMP S  1804+45B
107 COMP S  2003+57B
107 COMP S  2338-15C
107 COMPNN  1555+26E
107 VAR? E  1231+60B
107 VAR? N  2203+37B
108 COMP E  0553+53B
108 COMP E  0605+47C
108 COMP E  1353-04F
108 COMP E  1811+36F
108 COMP E  2242+43B
108 COMP N  0546+15E
108 COMP S  1848+11B
108 COMP W  0416+19B
108 COMP W  0532-01B
108 COMP X  2353+60D        COMP STAR 'X' ON CE CAS ARCHIVAL PHOTO
108 VAR? S  0122+16B
109 COMP E  0404+51C
109 COMP E  2035-01C
109 COMP N  1415+67F        109 NW CLOSER TO U (THERE IS ANOTHER 109 MORE W)
109 COMP N  1716+22B
109 COMP N  2007+20E
109 COMP N  2116+14B
109 COMP S  1905+27B
109 COMP W  0701+09B
109 VAR? W  0602+22B
11.0 COMP   2245+58C
11.6? UMI   2105+87B
11.7 COMP   0641+08B
110 COMP E  0149+58B
110 COMP E  0243+56E
110 COMP E  0407-25B
110 COMP N  0237+35B
110 COMP N  0710+39I
110 COMP N  1921+21B
110 COMP S  1606+25F
110 VAR N   0618+50B
111 COMP E  1744+22C
111 COMP N  1816+31B
111 COMP N  2014+37G
111 COMP S  2029+54B
111 COMP W  1415+67E
111 COMP W  2159+34B
112 COMP E  1805+18D
112 COMP E  2014+37H
112 COMP N  0613-17D
112 COMP N  0614-17D
112 COMP S  1811+36E
112 COMP S  2035-01B
112 COMP W  0632-01B
112 COMP W  2339+61B
112 VAR SE  0501+30B
113 COMP E  2050+17D
113 COMP E  2138+43E
113 COMP N  0655+10G
113 COMP N  1818+28C
113 VAR SE  1425+39B
113 VAR? E  1934+08B
113 VAR? S  2149+48C
113 VAR? W  1811+03B
114 COMP E  1850+36B
114 COMP E  1953-08C
114 COMP E  2138+43F        NSV 25754
114 COMP N  0829+53B
114 COMP N  1527-14B
114 COMP N  1920+29B
114 COMP S  0155+05B
114 COMP S  0220-00B
114 COMP S  1415+67C
114 COMP W  0655+10F
114 VAR? S  0634+44B
115 COMP N  0640+30B
115 COMP N  0855+18B
115 COMP N  1205+39B
115 COMP S  0103+59B
115 COMP W  0958+14B
115 COMP W  1613+26D
115 COMP W  1946+14D
115 VAR? W  0850-08D
116 COMP E  1640+25D
116 COMP E  2038+20B
116 COMP E  2158+13C
116 COMP N  1717+23D
116 COMP N  2007+06C
116 COMP S  0226+46B
116 COMP S  0530-05D
116 COMP S  0533+37B
116 COMP S  0604+43B
116 COMP S  1934+28D
116 COMP S  1946+32D
116 COMP S  2316+49B
116 COMP W  0520+34D
116 COMP W  1650+07B
116 COMP W  2003+17B
116 VAR SW  0604+43B
116 VAR? E  1533+78C
116 VAR? S  0059+53D
116 VAR? S  1513+36B
117 COMP N  2108+36B
117 COMP S  0640+30E
117 COMP S  1839+22D
117 COMP S  2044+31B
117 COMP W  1802+20D
117 VAR? W  0804+28E
118 * NE    0655+10H
118 COMP E  0710+39E
118 COMP N  1818+23B
118 COMP N  2158+48B
118 COMP S  0324+43C
118 COMP W  0058+40E        NSV 15235
118 COMP W  1656+31C
118 COMP W  1810+20B
118 VAR? E  1647+05B
119 COMP N  1935+09C
119 COMP S  1850+32B
119 COMP W  0313+32D
119 VAR? E  0816+17B
119 VAR? E  2108+28B
11M NE 5.7  0829+53C
11M* E HW   0457+26B
12.1 VAR?   0701+22D
12.2 COMP   0706-19C
12.7 COMP   0211+43D
12.7 COMP   0706-19B
12.7*       1606-21C
120 COMP E  1904+43F
120 COMP N  1744-06B
120 COMP S  1640+12B
120 COMP W  1857+37B
120 COMP W  2138+43G
120 VAR? E  0044+35B
121 COMP E  0500-22B
121 COMP E  1533+78E
121 COMP S  0058+40D
121 COMP S  0855+18C
121 COMP S  1640+25B
121 VAR     0749+22B
121 VAR S   0701+22D
121 VAR? S  0401+06B
122 COMP E  1517+31B
122 COMP N  0710+39F
122 COMP S  0604+50B
122 COMP W  0305+14B
122 VAR? N  1830+24C
123 COMP E  0210+24B
123 COMP E  1728+09C
123 COMP N  2015+20E
123 COMP N  2138+43D
124 COMP W  0710+39G
124 COMP W  1902+11B
124 COMP W  1955+53C
124 VAR? S  1606+25B
125 COMP N  0613-17E
125 COMP N  1920+29E
125 COMP S  1132+02B
125 COMP S  1947+38E
125 COMP S  1948+38F
125 COMP S  2201+53B
125 COMP W  0803+14B
125 VAR? N  0432-63B        SU RET
126 COMP E  1919+04B
126 COMP E  2055+43B
126 COMP N  1934+30C
126 COMP S  1805-14B
126 COMP S  1901+08L
126 COMP S  2326+42B
126 VAR? E  1810+31B
126 VAR? S  1945+42B
127 COMP E  1517+31C
127 COMP N  0530-05C
127 COMP N  1602-21C
127 COMP N  1950+55D
127 COMP S  1107-06B
127 VAR? E  2116-14B        FIELD OF CV AQR (CV WAS DELETED AS = 52 EUROPA)
127 VAR? S  0211+43B
128 COMP    0804+28C
128 COMP E  0614-17C        USE NAME VAR CMA (THIS IS CR'S VAR CMA)
128 COMP N  0106+21E
128 COMP N  1754+23C
128 COMP N  1902+11D
128 COMP N  2039+20B
128 COMP S  0004+51B
128 COMP S  0640+30C
128 COMP S  1640+25F
128 COMP W  1950+35B
129 COMP    1224+02B
129 COMP N  1640+25C
129 COMP S  1904+43D
129 COMP W  0635+58B
129 COMP W  0803+14C
129 COMP W  1904+43E
129 COMP W  2029+54C
129 VAR? N  0130+50B
12M STAR W  1946+32C
130 COMP N  1724-86B
130 COMP N  2014+37F
130 COMP W  0829+53E
130 VAR SE  2144+43B
130 VAR? S  2125-03B
130 VAR? W  1949+17E
131 COMP E  0655+10D
131 COMP S  1647+05C
131 COMP S  1950+32E
131 COMP S  2055+43C
131 COMP W  1754+58C
131 VAR? W  0655+10B
132 COMP    0804+28B
132 COMP E  0939+34C
132 COMP N  2012+09B
132 COMP S  2226+05B
133 COMP    0804+28D
133 COMP E  0734-00D
133 COMP E  2002+50C
133 COMP N  0058+40C
133 COMP N  0300+46C
133 COMP N  1902+11C
133 COMP N  2255+42B
133 COMP S  0701+22F
134 COMP S  0728+11C
135 COMP S  0300+46D
135 COMP S  0733+36B
135 COMP S  2226+05C
136 COMP E  1831+38E
136 COMP N  1910+46B
136 COMP N  1953+77B
136 COMP S  0206+57C
136 COMP S  1911-24B
136 COMP W  0203+56E
136 COMP W  1805+18C
136 VAR? W  0904+25B
137 COMP S  0300+46E
137 COMP W  2352+55B
138 COMP N  0829+53F
138 COMP S  0031+62C
138 COMP W  0101-02B
138 VAR? E  2007+06B
138 VAR? S  0605+47B
138 VAR? W  0924+21B
139 COMP N  0829+53I
14 COM      1221+27         HD 108283
140 COMP N  1602+10B
140 COMP N  1608+25E        STAR A NE
140 COMP N  1934+30B
140 COMP N  1958+56B
140 COMP S  1626+23C
142 COMP E  1841+37D
142 COMP N  1640+25E
143 COMP N  0829+53G
1432-0033   1429-00        OU VIR
144 COMP E  1953-08D
144 COMP E  2041-04B
145 COMP S  0106+21D
147 COMP S  1943+48B
148 COMP N  0947+35B
149 COMP N  0641+28C
15 TRI      0231+33C
150 COMP S  0305+14C
150 COMP S  2358+55B
1504+09     1459+09
16 TAU      0338+23         NSV 1262
161 COMP S  1830+24B
17 TAU      0338+23B
19 AUR      0520+34B        NSV 1925; CSV 100474
19 PSC      2341+02
1E 0205.7+  0202+34         1E 0205.7+3509; MS 0205.7+3509
1E 1516.6   1512-68         NAME PROVISIONAL
1E1719      1716-19         E1719.1-19; V2527 OPH
1H0928+500  0924+50
2 HER       1551+43
2.1937 CET  0006-12
2006-1725   2003-17
21 TAU      0340+24         NSV 1283
22 PSC      2346+02
2206+54CEP  2204+53
2231+06PEG  2226+05
2236+0052   2233+00
23 TAU      0340+23         NSV 1287
250114+650  0112+65
28 CYG      2005+36
28 GEM      0640+30D
2A 0526-32  0525-32
3 CVN       1214+49
3 GEM       0603+23
32 VUL      2050+27         NSV 13398;CSV 102043
33 ORI      0526+03
3A0729+103  0726+10
3C 120 ORI  0427+05
3C 232 LEO  0952+32         RXJ0958.3+3223
3C 273 VIR  1224+02
3C 279 VIR  1251-05
3C 345 HER  1639+40
3C 371 DRA  1807+69
3C 379 HER  1822+23
3C 454.3    2249+15         3C 454.3 PEG
3C 66A AND  0216+42
4 DRA       1225+69
40 COM      1301+23
42 HER      1636+49
43 VAR? SE  1811+36B
49 ERI      0432+00
4C 29.45    1154+29
4U 1543-62  1539-62
52 VAR? NE  1621+19C
52 VAR? W   0520+34B        19 AUR
53 VAR? E   0242+17D
54 COMP NE  0214-03B
54 COMP SW  0342+23B
54 VAR? SE  2136+42         NSV 13834
54 VAR? SW  2136+42         NSV 13834
55 VAR? SE  2044-05B
56 COMP NE  1842-05B
56 COMP NW  0231+33C
56 VAR? NW  0231+33C
58 COMP SE  2341+02B
59 SER      1822+00
6.2 COMP    1922+42B
61 COMP NW  0500+01B
61 HER      1659+35         V931 HER; NSV 8159
61 VAR? NW  1327-06B
62 COMP SW  0215+58H
62 VAR?     1250+47B
63 COMP SE  1834+39B        NSV 11271; HD 173383
65 COMP     1533+30
65 COMP SW  0525+04B
66 COMP NE  2132+44B
66 COMP NW  1901+08M
66 COMP SE  0622+30B
66 COMP SW  0726-09B
67 COMP NW  0231+33F
67 COMP SW  0535+31B
67 VAR? SE  2132+44D
68 COMP NW  2132+44C
68 COMP NW  2353+50C
69 COMP E   1425+84B
69 COMP N   1315+46B
69 COMP NE  1937+32B
69 COMP NE  2009+38C
69 COMP NW  0500+01B
69 COMP SW  1547+48B
7 LYN       0626+55
70 COMP SW  1239+61C
70 PSC      0059+07
71 COMP NE  1315+46D
71 COMP SW  2108+68E
71 VAR? N   2040+16B
72 COMP E   0606+22B
72 COMP E   1151+58B
72 COMP NE  2356+59B
73 COMP NW  1621+19D
73 COMP S   0811+12C
73 COMP SE  0228-13B        USE THIS DESIG+NAME ALSO FOR Z ERI'S 73 COMP SW
